epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.06526145861307914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8260549431692e-06,0.0,0.05,33.765483032577336,,33.765483032577336,33.765483032577336,,,1,raw,0,3.62034809961915,3.6203609965741634
1,240,latent no-align,0.001,148,0.015532267443533684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.596984297877793e-06,0.0,0.1,34.872887076161604,,34.872887076161604,33.765483032577336,,,0,raw,1,3.56411961466074,7.18561452627182
2,240,latent no-align,0.001,148,0.012151357535323178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062965293385787e-05,0.0,0.15,35.75966193816708,,35.75966193816708,33.765483032577336,,,0,raw,2,3.413292221724987,10.59983642399311
3,240,latent no-align,0.001,148,0.009914831459723614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366709149097693e-05,0.0,0.2,33.778891511835965,,33.778891511835965,33.765483032577336,,,0,raw,3,3.5284174494445324,14.129175499081612
4,240,latent no-align,0.001,148,0.009241175073249315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636461701664942e-05,0.0,0.25,34.670178063100984,,34.670178063100984,33.765483032577336,32.930194578778014,32.930194578778014,0,raw,4,5.646085977554321,19.776222620159388
5,240,latent no-align,0.001,148,0.008419436597693208,0.0,0.0,0.0,0.0006704873230773956,0.46070796674167785,0.06088505486479482,0.3809139146595388,1.47293041012548e-05,0.025,0.3,32.21447917455855,,32.21447917455855,32.21447917455855,,32.930194578778014,1,raw,0,4.187259964644909,23.964402362704277
6,240,latent no-align,0.001,148,0.00810622754255058,0.0,0.0,0.0,0.0007486249236830485,0.27055528800229767,0.05854865181184298,0.3868272364945025,1.588971126447841e-05,0.05,0.35,35.00068794452929,,35.00068794452929,32.21447917455855,,32.930194578778014,0,raw,1,4.118587385863066,28.08393505588174
7,240,latent no-align,0.001,148,0.00755191851734511,0.0,0.0,0.0,0.001045768103574881,0.24965077396985647,0.05760550481342786,0.3845450008237684,1.67118215739646e-05,0.075,0.4,34.69604635418583,,34.69604635418583,32.21447917455855,,32.930194578778014,0,raw,2,4.1265894919633865,32.2114495113492
8,240,latent no-align,0.001,148,0.007184741666188111,0.0,0.0,0.0,0.001291611451322112,0.22720513835146622,0.06087100702161725,0.3668992998632225,1.851040822141324e-05,0.1,0.45,30.690345496638415,,30.690345496638415,30.690345496638415,,32.930194578778014,1,raw,0,4.180366858839989,36.39274191856384
9,240,latent no-align,0.001,148,0.006815317917514492,0.0,0.0,0.0,0.001500384759384434,0.20849501563085093,0.06315495604900895,0.3493622525318249,1.9562192748609862e-05,0.125,0.5,30.777970080711558,,30.777970080711558,30.690345496638415,29.718660437635382,29.718660437635382,0,raw,1,6.371663674712181,42.76534183323383
10,240,latent no-align,0.001,148,0.006722605019505765,0.0,0.0,0.0,0.0016349352915091691,0.18802507725116369,0.0679757915739272,0.32889066898339503,2.047945766920551e-05,0.15,0.55,26.51350959702585,,26.51350959702585,26.51350959702585,,29.718660437635382,1,raw,0,4.110205229371786,46.876488626003265
11,240,latent no-align,0.001,148,0.006471578667343066,0.0,0.0,0.0,0.0017396832699887455,0.17109471348089142,0.07419226192743392,0.30633285923584086,2.1976823444600922e-05,0.175,0.6,29.813188109843047,,29.813188109843047,26.51350959702585,,29.718660437635382,0,raw,1,4.138358619064093,51.01576367020607
12,240,latent no-align,0.001,148,0.006123128904004556,0.0,0.0,0.0,0.001825820527989669,0.15573854563204018,0.07741969355658905,0.2897202529617258,2.2749593340818506e-05,0.2,0.65,29.548042445283677,,29.548042445283677,26.51350959702585,,29.718660437635382,0,raw,2,4.1376584731042385,55.15433806926012
13,240,latent no-align,0.001,148,0.006020631836223844,0.0,0.0,0.0,0.0019081621910634174,0.143548451867458,0.08190269929331702,0.27390486243608836,2.3221298011481554e-05,0.225,0.7,27.080832539480795,,27.080832539480795,26.51350959702585,,29.718660437635382,0,raw,3,4.089704904705286,59.24500583484769
14,240,latent no-align,0.001,148,0.005826984176638763,0.0,0.0,0.0,0.001947793995527349,0.130920870833703,0.08523096108960139,0.26330407426969427,2.3631837074070654e-05,0.25,0.75,26.778324165037642,,26.778324165037642,26.51350959702585,26.050641727869664,26.050641727869664,0,raw,4,6.382208898663521,65.6281509399414
15,240,latent no-align,0.001,148,0.005815905915271188,0.0,0.0,0.0,0.001954562929805016,0.11880636361201068,0.08895726788889717,0.25504637872045105,2.4283697933463594e-05,0.275,0.8,24.35303127970332,,24.35303127970332,24.35303127970332,,26.050641727869664,1,raw,0,4.12379078194499,69.75286250188947
16,240,latent no-align,0.001,148,0.00585235225200351,0.0,0.0,0.0,0.001962221347147951,0.10842588080747707,0.08999322269212555,0.25091260117856234,2.4474103586701835e-05,0.3,0.85,22.31925913460701,,22.31925913460701,22.31925913460701,,26.050641727869664,1,raw,0,4.107664816081524,73.86148088425398
17,240,latent no-align,0.001,148,0.00552542254366484,0.0,0.0,0.0,0.0019956607036481335,0.10106722396370527,0.09037051742544046,0.24282278019834208,2.5335477538327404e-05,0.325,0.9,22.42791289485797,,22.42791289485797,22.31925913460701,,26.050641727869664,0,raw,1,4.0811747610569,77.94359401986003
