epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.06526088099171584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.550680574279426e-06,0.0,0.05,48.438108962592345,,48.438108962592345,48.438108962592345,48.27967636683593,48.27967636683593,0,raw,1,raw,0,16.2164647243917,16.21648134291172
1,240,latent no-align,0.001,148,0.015363823697977775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4458041769594766e-05,0.0,0.1,73.22668258266671,,73.22668258266671,48.438108962592345,,48.27967636683593,0,raw,0,raw,1,7.886740732938051,24.106143955141306
2,240,latent no-align,0.001,148,0.011876569312015499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946345181553428e-05,0.0,0.15,68.00457068298812,,68.00457068298812,48.438108962592345,,48.27967636683593,0,raw,0,raw,2,6.206445436924696,30.31570638343692
3,240,latent no-align,0.001,148,0.01000680063058295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130866039658793e-05,0.0,0.2,66.24900694463807,,66.24900694463807,48.438108962592345,,48.27967636683593,0,raw,0,raw,3,6.053019613027573,36.37189990282059
4,240,latent no-align,0.001,148,0.009180966352515325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424339142659871e-05,0.0,0.25,63.068006913287306,,63.068006913287306,48.438108962592345,62.97429394786974,48.27967636683593,0,raw,0,raw,4,14.673435091972351,51.048749689012766
5,240,latent no-align,0.001,148,0.008416720426867943,0.0,0.0,0.0,0.0006904678979284457,0.4930119828597919,0.07297966760155317,0.28932702138617233,2.622288299814524e-05,0.025,0.3,75.99930890639538,,75.99930890639538,48.438108962592345,,48.27967636683593,0,raw,0,raw,5,13.286103460937738,64.33771526813507
6,240,latent no-align,0.001,148,0.008105244037594545,0.0,0.0,0.0,0.0007642743679556392,0.2851883887841895,0.0739237985800247,0.2699906009475927,2.8009891704297497e-05,0.05,0.35,71.99326251258702,,71.99326251258702,48.438108962592345,,48.27967636683593,0,raw,0,raw,6,16.562047343701124,80.90255850926042
7,240,latent no-align,0.001,148,0.007370506422720044,0.0,0.0,0.0,0.001028480621391429,0.23662472627050168,0.08093745125507987,0.2658416805033748,3.0484026926903942e-05,0.075,0.4,73.20225071041887,,73.20225071041887,48.438108962592345,,48.27967636683593,0,raw,0,raw,7,19.409863866865635,100.31584440171719
8,240,latent no-align,0.001,148,0.007067297607333072,0.0,0.0,0.0,0.0012477183922168773,0.20430994295590632,0.08363662056020789,0.26059781216286326,3.0468574636501757e-05,0.1,0.45,70.6743196002538,,70.6743196002538,48.438108962592345,,48.27967636683593,0,raw,0,raw,8,13.864834997802973,114.18396437168121
9,240,latent no-align,0.001,148,0.006957586068106261,0.0,0.0,0.0,0.0014252438087242881,0.17856125634264303,0.08844030764255975,0.25398818242388804,2.9574318493876097e-05,0.125,0.5,69.04891729354713,,69.04891729354713,48.438108962592345,68.98108205226484,48.27967636683593,0,raw,0,raw,9,28.28723032027483,142.4822110272944
