epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.0007,390,0.07110509074842318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0962072392307722e-06,0.0,0.05,14.950789836604882,,14.950789836604882,14.950789836604882,1,raw,0,14.92907752469182,14.930215619504452
1,240,latent no-align,0.0007,390,0.03218458724232056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442538432775809e-06,0.0,0.1,16.795083235162064,,16.795083235162064,14.950789836604882,0,raw,1,15.647103056311607,30.583726059645414
2,240,latent no-align,0.0007,390,0.027545863590561426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.394725035061501e-06,0.0,0.15,14.443679774727634,,14.443679774727634,14.443679774727634,1,raw,0,15.413536418229342,46.00353554263711
3,240,latent no-align,0.0007,390,0.025948161884951287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101807122493016e-06,0.0,0.2,20.378726500875324,,20.378726500875324,14.443679774727634,0,raw,1,15.430843520909548,61.440709836781025
4,240,latent no-align,0.0007,390,0.025140857381316332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.702036133493096e-06,0.0,0.25,13.281365392644908,,13.281365392644908,13.281365392644908,1,raw,0,15.101131621748209,76.54817702621222
5,240,latent no-align,0.0007,390,0.024384337866631075,0.0,0.0,0.0,0.0005125606924337216,0.3684932368688094,0.04862585731614859,0.41311425887621367,9.31293493872195e-06,0.025,0.3,13.56663870552278,14.058222675267526,13.56663870552278,13.281365392644908,0,raw,1,23.961045626550913,100.51549730077386
6,240,latent no-align,0.0007,390,0.023918070691900377,0.0,0.0,0.0,0.0006728955922134889,0.24186934473422858,0.04525855673620334,0.41090927101098573,9.935320138491733e-06,0.05,0.35,18.48181301379573,13.806824754612903,13.806824754612903,13.281365392644908,0,raw,2,33.18408742547035,133.70600347220898
7,240,latent no-align,0.0007,390,0.023455587881975448,0.0,0.0,0.0,0.0009261634275436593,0.22140999615956575,0.04268250174056261,0.40578765074412027,1.0547003454028014e-05,0.075,0.4,14.796048926393416,13.539753877616164,13.539753877616164,13.281365392644908,0,raw,3,36.182890981435776,169.89516374468803
8,240,latent no-align,0.0007,390,0.023387818719045474,0.0,0.0,0.0,0.0011539750263835184,0.20631822790855017,0.0417045765198194,0.3931655180759919,1.1133124434519022e-05,0.1,0.45,13.136631905633244,13.43244615829722,13.136631905633244,13.136631905633244,1,raw,0,35.79430194944143,205.6957818157971
9,240,latent no-align,0.0007,390,0.022967874781730083,0.0,0.0,0.0,0.0013593572929191092,0.19424965725495266,0.0440049935800907,0.3683314024637907,1.1979979901811113e-05,0.125,0.5,12.445827604894934,13.311838213615392,12.445827604894934,12.445827604894934,1,raw,0,34.26713699474931,239.96925350651145
10,240,latent no-align,0.0007,390,0.022530736769430147,0.0,0.0,0.0,0.0015122741150359312,0.17958098760782143,0.047792637252654785,0.33797731124437774,1.2746009992835565e-05,0.15,0.55,13.454396089797545,13.083122971916548,13.083122971916548,12.445827604894934,0,raw,1,34.20331925153732,274.17885630205274
11,240,latent no-align,0.0007,390,0.02218315989161149,0.0,0.0,0.0,0.0016164889299454025,0.16410012887074396,0.052454750889386885,0.31804696871684146,1.3431170228637385e-05,0.175,0.6,14.679276085196317,12.887191026978192,12.887191026978192,12.445827604894934,0,raw,2,34.79168616235256,308.9768169634044
12,240,latent no-align,0.0007,390,0.02189021866577558,0.0,0.0,0.0,0.0016939140199564206,0.15023293032860144,0.057678013161206854,0.2979905301943803,1.4352470950539916e-05,0.2,0.65,17.619461090670974,12.873293237231916,12.873293237231916,12.445827604894934,0,raw,3,32.72966714203358,341.71276950091124
13,240,latent no-align,0.0007,390,0.02179012183004465,0.0,0.0,0.0,0.0017442411901309896,0.13688571999470392,0.06029953430287349,0.2845613774580833,1.4960897183650209e-05,0.225,0.7,12.325997514105888,12.698960871198278,12.325997514105888,12.325997514105888,1,raw,0,28.320345912128687,370.0393546409905
14,240,latent no-align,0.0007,390,0.021270434224070645,0.0,0.0,0.0,0.001788158412389935,0.12591711617051027,0.06398821888634791,0.2742511633114937,1.5820537049503167e-05,0.25,0.75,12.670348611035967,12.798230199631513,12.670348611035967,12.325997514105888,0,raw,1,27.33443059027195,397.3801275976002
15,240,latent no-align,0.0007,390,0.021326058880927472,0.0,0.0,0.0,0.0018225210488964922,0.11631273382749313,0.06402632856789307,0.2696580424140661,1.647631390182934e-05,0.275,0.8,12.49957748013708,12.767722973403643,12.49957748013708,12.325997514105888,0,raw,2,28.076668441295624,425.4631492756307
16,240,latent no-align,0.0007,390,0.021147330088588673,0.0,0.0,0.0,0.0018651044163375328,0.10869203740969682,0.063665516464374,0.2655918382681333,1.7179529172258647e-05,0.3,0.85,12.182418401959074,12.526379030888924,12.182418401959074,12.182418401959074,1,raw,0,27.320288855582476,452.7897518090904
17,240,latent no-align,0.0007,390,0.020960718367057735,0.0,0.0,0.0,0.0019655046080095835,0.10557857394600526,0.061826878681014746,0.2623543072205323,1.7919076407661823e-05,0.325,0.9,16.50597127842153,12.469354806226889,12.469354806226889,12.182418401959074,0,raw,1,28.88181298598647,481.67790907248855
18,240,latent no-align,0.0007,390,0.020694695749821572,0.0,0.0,0.0,0.0020623489638241246,0.10281474817639742,0.06120548214858923,0.25569989004960425,1.891506782881035e-05,0.35,0.95,13.72264147624625,12.611324518273129,12.611324518273129,12.182418401959074,0,raw,2,27.26675247400999,508.95099971443415
19,240,latent no-align,0.0007,390,0.0203450610431341,0.0,0.0,0.0,0.002166386727148142,0.10079842077998015,0.06025103475802984,0.24933022757371268,1.9556201821102057e-05,0.375,1.0,12.24086618022545,12.522967980902,12.24086618022545,12.182418401959074,0,raw,3,27.54718652367592,536.5045191422105
20,240,latent no-align,0.0007,390,0.02009552970576363,0.0,0.0,0.0,0.00221202691587118,0.09652957222782649,0.05928416566397899,0.23672739741129753,1.9297122731260083e-05,0.4,1.0,12.450283677320124,12.56170379484955,12.450283677320124,12.182418401959074,0,raw,4,26.947736341506243,563.4585640467703
21,240,latent no-align,0.0007,390,0.020079337153583766,0.0,0.0,0.0,0.0022548051646504646,0.09250248894095421,0.05753547104123311,0.22289653840737464,1.886323736751085e-05,0.425,1.0,12.707892805604871,12.60923178955163,12.60923178955163,12.182418401959074,0,raw,5,28.183365654200315,591.6482748687267
22,240,latent no-align,0.0007,390,0.019927154893342118,0.0,0.0,0.0,0.0023167881457947003,0.0896695053539215,0.05638572371158845,0.21203928158069268,1.8654955072587397e-05,0.45,1.0,13.90748847878828,12.726500583713667,12.726500583713667,12.182418401959074,0,raw,6,30.873657137155533,622.5282182618976
23,240,latent no-align,0.0007,390,0.019789423774450254,0.0,0.0,0.0,0.0023986021247811807,0.08802708712143775,0.05534290325565216,0.20577928679875837,1.839870467217854e-05,0.475,1.0,13.660417419168029,12.811209354630252,12.811209354630252,12.182418401959074,0,raw,7,24.164848539978266,646.6998329646885
24,240,latent no-align,0.00035,390,0.020553759912936353,0.0,0.0,0.0,0.0029565733845512837,0.1031157210851327,0.06534648792674909,0.25619830439488095,2.0174036263853896e-05,0.5,1.0,12.19754965899739,12.401968101028459,12.19754965899739,12.182418401959074,0,raw,8,21.352007396519184,668.0597377344966
25,240,latent no-align,0.00035,390,0.02033782120411977,0.0,0.0,0.0,0.003050346963274746,0.10115159828311358,0.06575902979343365,0.25038804824535665,2.0246485165933757e-05,0.525,1.0,13.224559348063591,12.555561868077657,12.555561868077657,12.182418401959074,0,raw,9,20.416424572467804,688.4824303351343
26,240,latent no-align,0.00035,390,0.020145956078209938,0.0,0.0,0.0,0.003149718624085952,0.0997707452911597,0.06611062233837751,0.24311330310809307,2.0717090904863418e-05,0.55,1.0,12.518334704402655,12.813563334228938,12.518334704402655,12.182418401959074,0,raw,10,21.771925311535597,710.260660007596
27,240,latent no-align,0.00035,390,0.02026529164554981,0.0,0.0,0.0,0.0031791120851173615,0.09622710372010866,0.0649202506034038,0.23597827504078547,2.0386956935115635e-05,0.575,1.0,13.908766733488445,12.90375004502561,12.90375004502561,12.182418401959074,0,raw,11,22.186565846204758,732.453684899956
28,240,latent no-align,0.00035,390,0.01998939256613644,0.0,0.0,0.0,0.0031873553262975734,0.09251642737251062,0.0644337935707508,0.22573966276951327,2.0237872451663207e-05,0.6,1.0,12.757058135246407,12.850237497792566,12.757058135246407,12.182418401959074,0,raw,12,23.963504698127508,756.4235105477273
29,240,latent no-align,0.00035,390,0.019950059671193742,0.0,0.0,0.0,0.003083050076682598,0.08941238411726096,0.06278542345150923,0.2161682869379337,2.010022843210325e-05,0.6,1.0,12.582994211989371,12.811538533360583,12.582994211989371,12.182418401959074,0,raw,13,20.614366490393877,777.0441652424634
30,240,latent no-align,0.00035,390,0.019773414141188064,0.0,0.0,0.0,0.0030209412828135565,0.08763686978282073,0.060551437315268394,0.20910112051627575,1.992477282328764e-05,0.6,1.0,13.99662438425429,12.929422580105072,12.929422580105072,12.182418401959074,0,raw,14,20.58877968415618,797.6394522078335
31,240,latent no-align,0.000175,390,0.020552043380359045,0.0,0.0,0.0,0.0035517138237945545,0.1032119754415292,0.06610523704917003,0.25524694869915643,2.0193771319426536e-05,0.6,1.0,12.781136360814559,12.339410441005812,12.339410441005812,12.182418401959074,0,raw,15,21.104836080223322,818.752261467278
32,240,latent no-align,0.000175,390,0.02020720846664447,0.0,0.0,0.0,0.0034958569040426457,0.10152327246390856,0.06825851836265662,0.24874650671696052,2.078866135166325e-05,0.6,1.0,12.798128746364375,12.605515406389468,12.605515406389468,12.182418401959074,0,raw,16,21.1988981179893,839.9574398621917
33,240,latent no-align,0.000175,390,0.02014972346667678,0.0,0.0,0.0,0.00347411680357674,0.10085571945095674,0.06806297319439741,0.24446131048294215,2.0902510098098083e-05,0.6,1.0,14.163779076542562,12.750001916525433,12.750001916525433,12.182418401959074,0,raw,17,25.09407479315996,865.0577967241406
34,240,latent no-align,0.000175,390,0.020134342903605638,0.0,0.0,0.0,0.0034338592623288813,0.09958637501948919,0.06721421619638418,0.24123834409774877,2.076181955113171e-05,0.6,1.0,12.815718280531422,12.805637455999541,12.805637455999541,12.182418401959074,0,raw,18,25.54400645568967,890.6085472330451
35,240,latent no-align,0.000175,390,0.020262347202365978,0.0,0.0,0.0,0.0033761130084689612,0.09791852006545433,0.06695712569814462,0.2352526448476009,2.0853627323119258e-05,0.6,1.0,13.348032733068765,12.982898100170623,12.982898100170623,12.182418401959074,0,raw,19,25.79159077256918,916.4068522118032
36,240,latent no-align,0.000175,390,0.020135293339785094,0.0,0.0,0.0,0.003315843730711211,0.09610646957388291,0.0665955422207331,0.2308560991898561,2.0754955244811777e-05,0.6,1.0,16.242794115476748,12.965327199503049,12.965327199503049,12.182418401959074,0,raw,20,22.066082671284676,938.4798213802278
37,240,latent no-align,0.000175,390,0.019945085225388026,0.0,0.0,0.0,0.0032479102920311004,0.09415262910800103,0.06641838883933349,0.22526540297728317,2.0789228876357157e-05,0.6,1.0,12.91112702106348,13.169800887036313,12.91112702106348,12.182418401959074,0,raw,21,21.09297612681985,959.5795751400292
38,240,latent no-align,8.75e-05,390,0.020187411612520616,0.0,0.0,0.0,0.0035777364791824647,0.10402368440842018,0.06552033785444039,0.25708729643852285,2.0268999502056827e-05,0.6,1.0,12.301058586380654,12.307933104497858,12.301058586380654,12.182418401959074,0,raw,22,20.599317632615566,980.1867991946638
39,240,latent no-align,8.75e-05,390,0.020069075796084527,0.0,0.0,0.0,0.0035293664699659133,0.10252610187117871,0.06766452197081003,0.25155303741876894,2.0488199805139374e-05,0.6,1.0,12.628027489710274,12.52053165064758,12.52053165064758,12.182418401959074,0,raw,23,20.840197876095772,1001.0333015397191
40,240,latent no-align,8.75e-05,390,0.020228839675203347,0.0,0.0,0.0,0.0034840360642052616,0.10111281375090281,0.06766397805932241,0.24910393559779875,2.065496418463926e-05,0.6,1.0,12.598272010098034,12.608833900626568,12.598272010098034,12.182418401959074,0,raw,24,21.566007040441036,1022.6056381314993
41,240,latent no-align,8.75e-05,390,0.020101049645111346,0.0,0.0,0.0,0.003457898759426406,0.1003088306922179,0.06774963419406842,0.2466225441831809,2.0694238619165472e-05,0.6,1.0,13.167217692949668,12.679516102680855,12.679516102680855,12.182418401959074,0,raw,25,20.673839189112186,1043.2857966572046
42,240,latent no-align,8.75e-05,390,0.020251912666627993,0.0,0.0,0.0,0.0034479671080286304,0.09999525243273148,0.06814989778093802,0.24452547400425642,2.095934102656499e-05,0.6,1.0,12.788742903541268,12.857614351401129,12.788742903541268,12.182418401959074,0,raw,26,24.571647938340902,1067.863701172173
43,240,latent no-align,8.75e-05,390,0.02020048537554267,0.0,0.0,0.0,0.003424549761873025,0.09931151907031353,0.06812870359191528,0.2408386739018636,2.0815192408171684e-05,0.6,1.0,12.803913593977837,12.948645362800624,12.803913593977837,12.182418401959074,0,raw,27,21.142239671200514,1089.0126355178654
44,240,latent no-align,8.75e-05,390,0.02006931677938272,0.0,0.0,0.0,0.0034053865258987896,0.09877608607594783,0.06812601597645344,0.23777526055391018,2.100179743324705e-05,0.6,1.0,13.444941762591082,13.074733991354314,13.074733991354314,12.182418401959074,0,raw,28,20.560369189828634,1109.5793302357197
